fiber_node;address;coordinate
FPD016;TANDANG AREA (3);-7.017625,110.453357
FPD018;TANDANG AREA (5);-7.01485605820662,110.452933563
FPD017;TANDANG AREA (4);-7.015399239506097,110.45336383
FWS144;BUGANGAN AREA (7);-6.971988216891447,110.43482026
FPD021;SENDANG GUWO AREA (5);-7.008936,110.448891
FPD020;SENDANG GUWO AREA (4);-7.010517,110.449799
FPD031;GEMAH AREA (1);-7.006399,110.453445
FPD013;PEDURUNGAN TENGAH AREA (2);-7.0015787,110.4786601
FWS139;REJOSARI AREA (5);-6.982013,110.437961
FWS140;REJOSARI AREA (6);-6.983785,110.438345
FPD019;SENDANG GUWO AREA (3);-7.01353,110.46186
FPD028;SENDANG GUWO AREA (9);-7.014621,110.453239
FSK023;BENDAN DUWUR AREA (2);-7.0206332,110.3960599
FSK025;BENDAN DUWUR AREA (4);-7.0189982297904505,110.394816
FPD005;TLOGOMULYO AREA (1);-6.991306,110.4765713
FPD010;PEDURUNGAN KIDUL AREA (1);-7.015771,110.475228
FPD015;SENDANG GUWO AREA (2);-7.016011,110.463508
FPD014;SENDANG GUWO AREA (1);-7.015393,110.46504
FBL051;SRIWIDODO AREA (3);-6.998574,110.368276
FWS137;LEMPONGSARI AREA (4);-6.9970251,110.4122193
FWS125;PENDRIKAN LOR AREA (2);-6.977313,110.405226
FBL055;PERUM TAMAN BERINGIN ELOK (1);-7.003448,110.326521
FPD029;SENDANG GUWO AREA (10);-7.014605,110.453485
FWS149;ERLANGGA AREA (2);-6.994243,110.426853
FWS079;PENDRIKAN KIDUL (1);-6.9801044,110.4083965
FPD006;TLOGOMULYO AREA (2);-6.987884,110.474307
FPD009;TLOGOMULYO AREA (3);-6.986726,110.475948
FPD027;SENDANG GUWO AREA (8);-7.01342,110.461464
FWS151;JAGALAN AREA (2);-6.9808998,110.4290565
FBL056;PERUM TAMAN BERINGIN ELOK (2);-7.002519,110.326001
FWS143;GISIKDRONO AREA (6);-6.9806921,110.3882394
FWS148;ERLANGGA AREA (1);-6.993006,110.424557
FWS142;JOMBLANG AREA (6);-7.011805540829379,110.43640321
FWS141;REJOSARI AREA (7);-6.9761077,110.4404094
FWS150;JAGALAN AREA (1);-6.9832676,110.4291434
FWS153;GISIKDRONO AREA (8);-6.9939268,110.3870176
FWS152;GISIKDRONO AREA (7);-6.9935745,110.3865843
FWS108;WONOTINGGAL AREA (2);-7.009723,110.425119
FSK035;PEDALANGAN AREA (1);-7.069191,110.425236
FSK036;PEDALANGAN AREA (2);-7.067399,110.428691
FSK039;PEDALANGAN AREA (3);-7.067445,110.431519
FSK029;BANYUMANIK AREA (1);-7.075716182517849,110.4089031
FSK033;PADANGSARI AREA (4);-7.070374133985516,110.43277117
FSK019;PUDAK PAYUNG AREA (1);-7.088536,110.421213
FSK030;BANYUMANIK AREA (2);-7.07814482323025,110.407588806
FSK040;SRONDOL KULON AREA (3);-7.04679132243242,110.4193091063
FSK028;PADANGSARI AREA (2);-7.072917,110.426709
FSK011;NIRWANA SARI (1);-7.060497,110.438261
FWS124;PENDRIKAN LOR AREA (1);-6.975335,110.411275
FSK020;PUDAK PAYUNG AREA (2);-7.091126,110.417778
FSK032;PUDAK PAYUNG AREA (3);-7.091065,110.415242
FWS122;REJOSARI AREA (3);-6.982514,110.438488
FWS157;REJOSARI AREA (8);-6.984231,110.439297
FSK026;PERUM PERMATA TEMBALANG (1);-7.07181,110.442647
FSK027;PERUM PERMATA TEMBALANG (2);-7.073451,110.445224
FWS159;BUGANGAN AREA (8);-6.9748506,110.4402396
FWS160;BUGANGAN AREA (9);-6.97669,110.441498
FSK041;GEDAWANG AREA (1);-7.089151,110.423285
FWS096;MUGAS SARI AREA (3);-6.994471,110.416869
FPD042;SENDANG GUWO AREA (13);-7.012488,110.460177
FPD001;TANDANG AREA (1);-7.018835,110.452271
FPD043;SENDANG GUWO AREA (14);-7.014231,110.459439
FWS131;LAMPER TENGAH AREA (6);-7.003885,110.445834
